Post,Sentence
689,"quiz. 9 - neural language models use word-embedding models in their training..hi , when taught in class it was mentioned that a by product of neural language models was the word embeddings but i do not remember word embeddings to be involved in training. please can someone confirm this. thanks"
689,"yes, word embedding are not used to rain word2vec. we only use one-hot vectors and then learn word embeddings as the weights of the two-layer network."
663,regarding random shuffling between epochs while training.i am getting better mean f1 scores for both vanilla and averaged perceptron without random shuffling the dataset between epochs while training. is shuffling between epochs mandatory while training? can i train the perceptron without shuffling the dataset?
663,"not mandatory, but see @661"
638,"feature extraction and classifying using one model.since i use tfidf for feature extraction, i need to keep the bag of words in the model for feature extraction in classifying right? does that mean i also need to store the idf for each word calculated in training and load it for classification? since the testing data need the same idf for the words in my bag of words. (unseen words will be discarded)"
638,you could. another option would be to put the idf weights into your leaned weight vectors.
608,"feature vector for unseen words.as we are creating one-hot encoding to convert reviews into features, how can i handle any unseen words in the test dataset? should i skip the word? or is there any other better alternative?"
608,"ignoring an unknown word is probably the simplest solution. alternatively, you can devise features that could be triggered by both known and unknown words."
579,"smoothing transition probability matrix.what is meant by smoothing each row in the transition probability matrix? if we are generally dividing by the number of times the previous tag is in the corpus, are we adding 1 to that number?"
579,"laplace smoothing was covered in the first week of class @490, and again last week (lecture 13 on october 4). smoothing each row just means treating each outgoing transition separately. that is, we perform smoothing on all the transitions from noun; separately, we perform smoothing on all the transitions from verb; and so on. because each of these is a separate probability distribution."
541,hmm model.do we have to use forward-backward algorithm to learn the model as shown in the reference?
541,"the forward-backward algorithm is for unsupervised learning. you do not need to do that, because the exercise provides labeled training data."
536,"smoothing.instead of laplace smoothing, i am trying to use additive smoothing. still, i am not able to get good accuracy, leading not to be able to pinpoint the exact additive integer. is there any other way to do this?"
536,"sophisticated smoothing could lead to a small improvement, but if the accuracy you are getting is not in the general range of the baseline or reference, then you probably have a bug or error, and finding and fixing that would lead to more improvement than fiddling with the smoothing method"
589,"how to use word tokens as features.in the overview of code assignment 4, it said that ""you may use the word tokens as features. "". professor said i can count words instead of using tf-idf. can anybody give me an example about how to transfer a review (i.e. a sequence of words/strings) into a vector (a sequence of numbers)?"
589,"using words as features, each word can be considered a feature, and the count of the word is the value. so a review like ""the omni is the best hotel in the world"" will have the following feature values: {'best': 1, 'hotel': 1, 'in': 1, 'is': 1, 'omni': 1, 'the': 3, 'world': 1} if you want to think of this as a fixed-length vector, then the length would be the entire vocabulary, and most values will be zero. notice how in the feature structure above, i silently changed 'the' to 'the', but kept 'omni' without change. this would be difficult to do programmatically, but this is one of the things to experiment with: is it helpful to change case? mess around with suffixes? do something with punctuation? is it helpful to develop features that are not words? for example, use word bigrams as features? are there any words that should be excluded from being used as features? i recommend starting with very simple features (say, just words), in order to get the basic logic of the perceptron working, once you have that, you can experiment to see how changes to features affect performance of the perceptron. no, word2vec is not allowed for this assignment."
528,smoothing emission probability.why are we not smoothing emission probability?
528,"it is a tradeoff of runtime and accuracy. my best recommendation is to try it both ways: implement your model with and without smoothing on the emissions, measure runtime and accuracy for both options, and decide if the tradeoff is worthwhile. looking at the theory, smoothing the emission probabilities is expected to cause a substantial increase in runtime, because now you are calculating paths into every tag for every word, instead of throwing away most of the paths, it also has the potential for an improvement in accuracy, since you may run into a situation where context strongly suggests a tag but the current word was only seen with other tags. however, the improvement in accuracy is likely to be fairly modest, because if a word was seen with some tags but not others, then either the word is rare or the other tags are rare for that word."
511,states vs observations.the parts of speech themselves are the states correct? which would make each word the observation? i am confused because there is a possibility our input data does not contain all possible part of speech tags and therefore will always incorrectly label any words belonging to that part of speech. is there a known list of part of speech tags we are supposed to use? or just use the ones from the training data?
511,"yes and yes. i am not sure if the data we are working with will have such cases. but if we do, then you are correct. it can happen that we do not see a tag in train dataset because of which we assign words belonging to that tag incorrectly when tagging test dataset. no there is no known list of part of speech tags. we should be using and learning model from the ones that are present in training data."
506,is brill tagger a discriminative model or generative model?.
506,neither. the model does not output probabilities of tags or sequences of tags.
497,"finding open-class parts of speech.i am trying to find a good way to determine if a part of speech can be considered open-class. are there any general rules to follow when doing this? i tried calculating the average vocabulary size of each part of speech, and then classifying everything with a greater than average vocab size as open-class. however, this greatly reduced the algorithms accuracy, so i suspect this is the wrong way to go about it."
